Epoch ,               Cur LR ,              Cur MSE ,               Cur KL ,             Saved KL ,            Saved MSE ,               KL Reg
0,0.01,94.86312552,0.216728194,0.216728194,94.86312552,1
1,0.01,589.3245626,10666.55162,215.5799359,87.36253835,1
2,0.01,566.733033,10666.55162,215.5799359,87.36253835,1
3,0.01,538.9153881,10666.55162,215.5799359,87.36253835,1
4,0.009,515.1470891,10666.55162,215.5799359,87.36253835,1
5,0.009,565.4462389,10666.55162,215.5799359,87.36253835,1
6,0.009,524.6638139,10666.55162,215.5799359,87.36253835,1
7,0.0081,601.624964,10666.55162,215.5799359,87.36253835,1
8,0.0081,635.567308,10666.55162,215.5799359,87.36253835,1
9,0.0081,580.7834423,10666.55162,215.5799359,87.36253835,1
10,0.00729,516.3052636,10666.55162,215.5799359,87.36253835,1
11,0.00729,550.1803896,10666.55162,215.5799359,87.36253835,1
12,0.00729,547.0810283,10666.55162,215.5799359,87.36253835,1
13,0.006561,597.4989644,10666.55162,215.5799359,87.36253835,1
14,0.006561,545.1376233,10666.55162,215.5799359,87.36253835,1
15,0.006561,535.5406397,10666.55162,215.5799359,87.36253835,1
16,0.0059049,578.2725673,10666.55162,215.5799359,87.36253835,1
17,0.0059049,553.0219077,10666.55162,215.5799359,87.36253835,1
18,0.0059049,528.3991914,10666.55162,215.5799359,87.36253835,1
19,0.00531441,565.3969019,10666.55162,215.5799359,87.36253835,1
20,0.00531441,572.2274224,10666.55162,215.5799359,87.36253835,1
21,0.00531441,540.1562133,10666.55162,215.5799359,87.36253835,1
22,0.004782969,556.2093856,10666.55161,215.5799359,87.36253835,1
23,0.004782969,551.814186,10666.55161,215.5799359,87.36253835,1
24,0.004782969,635.003002,10666.55161,215.5799359,87.36253835,1
25,0.004304672,558.0338168,10666.55161,215.5799359,87.36253835,1
26,0.004304672,508.9830132,10666.55161,215.5799359,87.36253835,1
27,0.004304672,540.1172372,10666.5516,215.5799359,87.36253835,1
28,0.003874205,595.2388562,10666.55159,215.5799359,87.36253835,1
29,0.003874205,532.1116816,10666.55157,215.5799359,87.36253835,1
30,0.003874205,556.1910084,10666.55155,215.5799359,87.36253835,1
31,0.003486784,566.7868835,10666.55151,215.5799359,87.36253835,1
32,0.003486784,520.4530146,10666.55144,215.5799359,87.36253835,1
33,0.003486784,580.6747211,10666.55133,215.5799359,87.36253835,1
34,0.003138106,591.1019528,10666.55118,215.5799359,87.36253835,1
35,0.003138106,483.6959216,10666.55091,215.5799359,87.36253835,1
36,0.003138106,612.3617033,10666.55048,215.5799359,87.36253835,1
37,0.002824295,577.4199055,10666.54984,215.5799359,87.36253835,1
38,0.002824295,531.5070567,10666.54877,215.5799359,87.36253835,1
39,0.002824295,531.2770712,10666.54703,215.5799359,87.36253835,1
40,0.002541866,535.4446687,10666.54443,215.5799359,87.36253835,1
41,0.002541866,599.4124069,10666.54014,215.5799359,87.36253835,1
42,0.002541866,560.1171309,10666.5331,215.5799359,87.36253835,1
43,0.002287679,578.4161099,10666.52266,215.5799359,87.36253835,1
44,0.002287679,544.5862675,10666.50537,215.5799359,87.36253835,1
45,0.002287679,556.8937176,10666.47691,215.5799359,87.36253835,1
46,0.002058911,564.7021807,10666.43458,215.5799359,87.36253835,1
47,0.002058911,562.8458369,10666.3649,215.5799359,87.36253835,1
48,0.002058911,563.7664636,10666.25024,215.5799359,87.36253835,1
49,0.00185302,544.5490665,10666.07994,215.5799359,87.36253835,1
50,0.00185302,543.3115167,10665.80126,215.5799359,87.36253835,1
51,0.00185302,593.4713628,10665.34171,215.5799359,87.36253835,1
52,0.001667718,553.9493001,10664.66449,215.5799359,87.36253835,1
53,0.001667718,561.5511338,10663.55855,215.5799359,87.36253835,1
54,0.001667718,550.2120102,10661.77444,215.5799359,87.36253835,1
55,0.001500946,645.0690236,10659.18642,215.5799359,87.36253835,1
56,0.001500946,489.7225049,10655.11834,215.5799359,87.36253835,1
57,0.001500946,499.6365991,10648.857,215.5799359,87.36253835,1
58,0.001350852,506.2925666,10640.5212,215.5799359,87.36253835,1
59,0.001350852,441.4876699,10628.95344,215.5799359,87.36253835,1
60,0.001350852,410.4449713,10614.51421,215.5799359,87.36253835,1
61,0.001215767,382.4999611,10600.76189,215.5799359,87.36253835,1
62,0.001215767,396.9857854,10589.84434,215.5799359,87.36253835,1
63,0.001215767,338.362178,10585.05104,215.5799359,87.36253835,1
64,0.00109419,291.1786346,10583.50452,215.5799359,87.36253835,1
65,0.00109419,355.3698841,10578.20823,215.5799359,87.36253835,1
66,0.00109419,335.4293413,10565.54383,215.5799359,87.36253835,1
67,0.000984771,338.4911584,10547.60448,215.5799359,87.36253835,1
68,0.000984771,321.2700707,10524.988,215.5799359,87.36253835,1
69,0.000984771,331.1592531,10503.02323,215.5799359,87.36253835,1
70,0.000886294,326.5139108,10495.67615,215.5799359,87.36253835,1
71,0.000886294,301.8238196,10526.65759,215.5799359,87.36253835,1
72,0.000886294,332.5991698,10633.77285,215.5799359,87.36253835,1
73,0.000797664,316.9363767,10832.07807,215.5799359,87.36253835,1
74,0.000797664,325.6400101,11154.55182,215.5799359,87.36253835,1
75,0.000797664,301.2766576,11591.26681,215.5799359,87.36253835,1
76,0.000717898,272.108393,12021.07176,215.5799359,87.36253835,1
77,0.000717898,337.5505954,12354.60109,215.5799359,87.36253835,1
78,0.000717898,312.9902656,12515.33101,215.5799359,87.36253835,1
79,0.000646108,285.5187799,12552.89312,215.5799359,87.36253835,1
80,0.000646108,315.9883477,12558.25978,215.5799359,87.36253835,1
81,0.000646108,267.4106931,12538.26595,215.5799359,87.36253835,1
82,0.000581497,251.1165641,12484.65961,215.5799359,87.36253835,1
83,0.000581497,251.4616001,12372.54357,215.5799359,87.36253835,1
84,0.000581497,278.0294798,12217.99615,215.5799359,87.36253835,1
85,0.000523348,259.7008285,11971.88406,215.5799359,87.36253835,1
86,0.000523348,271.5408441,11582.3004,215.5799359,87.36253835,1
87,0.000523348,267.2837128,10993.12342,215.5799359,87.36253835,1
88,0.000471013,225.4913477,10270.85857,215.5799359,87.36253835,1
89,0.000471013,210.2534641,9268.974317,215.5799359,87.36253835,1
90,0.000471013,177.4826814,8076.216284,215.5799359,87.36253835,1
91,0.000423912,154.2345044,6889.948433,215.5799359,87.36253835,1
92,0.000423912,137.8078298,5667.479059,215.5799359,87.36253835,1
93,0.000423912,126.2151825,4593.968139,215.5799359,87.36253835,1
94,0.00038152,102.3643632,3758.771025,215.5799359,87.36253835,1
95,0.00038152,90.10857377,3121.516106,215.5799359,87.36253835,1
96,0.00038152,82.23031605,2656.25897,2709.473974,80.09104366,1
97,0.00038152,80.51720495,2394.666769,2400.047153,73.43630288,1
98,0.00038152,72.85236856,2200.209047,2244.831217,70.28559294,1
99,0.00038152,67.59687541,2082.058216,2116.312594,67.10682654,1
100,0.00038152,65.1816435,2022.490283,2001.789138,63.99034477,1
101,0.00038152,63.78842969,1994.848385,1965.292723,60.27614757,1
102,0.00038152,59.95836321,1939.492967,1900.958967,57.63621755,1
103,0.00038152,57.92014013,1875.173511,1884.011589,55.58721008,1
104,0.00038152,54.81571815,1853.474327,1854.340932,53.45232879,1
105,0.00038152,52.02989139,1828.35309,1809.167428,50.61422057,1
106,0.00038152,50.12153295,1767.072601,1795.035001,47.91159829,1
107,0.00038152,47.22333693,1741.797234,1735.268994,45.45541801,1
108,0.00038152,44.02138311,1676.371554,1703.164614,43.08305953,1
109,0.00038152,43.36640752,1599.865763,1612.113594,40.46814729,1
110,0.00038152,40.08654609,1557.277734,1565.862824,37.88062657,1
111,0.00038152,37.43962777,1494.673831,1478.855862,35.88997778,1
112,0.00038152,35.42733867,1439.432402,1459.969647,33.56885124,1
113,0.00038152,33.30358067,1425.477917,1424.196445,31.09740218,1
114,0.00038152,31.04366683,1368.918045,1381.056708,28.57863297,1
115,0.00038152,28.22967539,1364.081851,1334.903597,26.43653916,1
116,0.00038152,25.57114256,1341.92703,1318.084783,24.09545461,1
117,0.00038152,22.99505636,1272.091178,1246.049505,22.01878826,1
118,0.00038152,20.48275856,1213.848931,1203.344665,20.03551436,1
119,0.00038152,18.56343144,1127.426065,1141.370194,17.97052383,1
120,0.00038152,16.5471336,1033.726092,1030.793443,15.8811446,1
121,0.00038152,14.92299089,930.0133331,971.0250686,14.16628886,1
122,0.00038152,12.81401361,813.6993436,826.7637636,12.49286799,1
123,0.00038152,11.44207609,668.7499899,676.2743146,11.2924241,1
124,0.00038152,10.20602754,544.3783494,517.6672905,10.15262275,1
125,0.00038152,9.284016889,362.266077,356.7330982,9.19816873,1
126,0.00038152,8.326643623,269.1831192,266.4046324,8.320267967,1
127,0.00038152,7.580669366,218.2072908,210.1021944,7.582840781,1
128,0.00038152,6.927093959,158.8468817,166.2484704,6.910657739,1
129,0.00038152,6.323660054,129.1819274,129.1819274,6.323660054,1
130,0.00038152,5.790247542,100.4749454,100.4749454,5.790247542,1
131,0.00038152,5.32079383,79.59594497,82.14911092,5.316622926,1
132,0.00038152,4.895911563,62.32866442,62.60738479,4.89530495,1
133,0.00038152,4.52469566,46.95817874,46.95817874,4.52469566,1
134,0.00038152,4.192903973,38.01782582,38.15585865,4.191877022,1
135,0.00038152,3.903307186,31.28223323,31.28223323,3.903307186,1
136,0.00038152,3.655155044,27.46541704,27.46541704,3.655155044,1
137,0.00038152,3.440844409,24.79744441,24.79744441,3.440844409,1
138,0.00038152,3.246289279,23.24699102,23.460578,3.245508594,1
139,0.00038152,3.080552843,22.59392509,22.47568893,3.080350128,1
140,0.00038152,2.946673818,21.94583911,21.74011846,2.945188365,1
141,0.00038152,2.834475449,20.78119256,20.99311873,2.830960388,1
142,0.00038152,2.73434379,20.56413805,20.60763698,2.734312982,1
143,0.00038152,2.652361111,20.06380514,20.23923539,2.652219014,1
144,0.00038152,2.582878811,19.85726811,19.85726811,2.582878811,1
145,0.00038152,2.525221926,19.52718997,19.52718997,2.525221926,1
146,0.00038152,2.476495486,19.42294359,19.25279429,2.475605939,1
147,0.00038152,2.43042348,19.05883533,19.05883533,2.43042348,1
148,0.00038152,2.390047763,18.89286897,18.97305905,2.389240681,1
149,0.00038152,2.35395373,18.82559274,18.82559274,2.35395373,1
150,0.00038152,2.325365506,18.75263283,18.6340654,2.324122015,1
151,0.00038152,2.297723387,18.56508301,18.57321121,2.297660777,1
152,0.00038152,2.263677537,18.64662718,18.64662718,2.263677537,1
153,0.00038152,2.23755746,18.6404383,18.65446587,2.237493803,1
154,0.00038152,2.208962126,19.13254888,19.0944726,2.208671252,1
155,0.00038152,2.184618598,18.98567063,19.14062495,2.184275128,1
156,0.00038152,2.167128419,18.89933875,19.09147061,2.164609255,1
157,0.00038152,2.152848126,19.04336302,19.2549247,2.147477203,1
158,0.00038152,2.136171613,19.24417892,19.24082761,2.136082539,1
159,0.00038152,2.126745752,19.14114484,19.10583329,2.126702444,1
160,0.00038152,2.120525536,19.13609116,19.084711,2.120139174,1
161,0.00038152,2.115633395,19.01486245,19.09760356,2.115497202,1
162,0.00038152,2.112881219,19.17171797,18.95268445,2.112453841,1
163,0.00038152,2.110562723,18.8587489,18.8587489,2.110562723,1
164,0.00038152,2.109556533,18.80214687,18.8124331,2.109514801,1
165,0.00038152,2.109066418,18.64231519,18.71062113,2.108939713,1
166,0.00038152,2.108791607,18.63546441,18.68495608,2.108563369,1
167,0.00038152,2.10852879,18.64214219,18.59828252,2.108347723,1
168,0.00038152,2.108345187,18.50059017,18.56007147,2.108176513,1
169,0.00038152,2.110179085,18.38870864,18.52088202,2.107971014,1
170,0.00038152,2.107838313,18.38386774,18.41907056,2.107655597,1
171,0.00038152,2.107623815,18.36804657,18.38537957,2.107164864,1
172,0.00038152,2.108709526,18.51970533,18.36937283,2.106359981,1
173,0.00038152,2.105017231,18.37787825,18.37838466,2.105012074,1
174,0.00038152,2.103301646,18.3456233,18.334853,2.103084008,1
175,0.00038152,2.100121552,18.36259805,18.36259805,2.100121552,1
176,0.00038152,2.095331892,18.45802153,18.52438948,2.095278014,1
177,0.00038152,2.088307268,18.60883629,18.60883629,2.088307268,1
178,0.00038152,2.079539985,19.17770755,18.81046739,2.078092167,1
179,0.00038152,2.067158001,19.29704152,18.82383255,2.063998284,1
180,0.00038152,2.046446742,18.98231974,19.03698001,2.046235805,1
181,0.00038152,2.026433687,19.44097586,19.23004119,2.026393884,1
182,0.00038152,2.007185559,19.59528793,19.65443809,2.006175694,1
183,0.00038152,1.982163933,20.0495564,20.0495564,1.982163933,1
184,0.00038152,1.946176283,20.63170981,20.63170981,1.946176283,1
185,0.00038152,1.895118145,21.09725343,21.19946953,1.894231348,1
186,0.00038152,1.841357486,21.65298765,21.65298765,1.841357486,1
187,0.00038152,1.801606295,21.88298751,21.88298751,1.801606295,1
188,0.00038152,1.775141958,22.13579113,22.13579113,1.775141958,1
189,0.00038152,1.753386653,22.24650969,22.2971623,1.753229362,1
190,0.00038152,1.7385936,22.68649722,22.54778931,1.729476905,1
191,0.00038152,1.708021102,22.51753556,22.77499131,1.700065933,1
192,0.00038152,1.667330644,22.58035628,23.04740026,1.666410202,1
193,0.00038152,1.626918061,22.65095812,22.73070462,1.625976395,1
194,0.00038152,1.575416886,22.8614401,22.8614401,1.575416886,1
195,0.00038152,1.54020464,23.33548471,22.68322238,1.512078203,1
196,0.00038152,1.493415009,23.04656416,23.19062626,1.432216863,1
197,0.00038152,1.325471775,23.3505652,23.46937665,1.325058274,1
198,0.00038152,1.220423646,23.76068862,23.78951866,1.195711716,1
199,0.00038152,1.03373074,24.32267428,24.32267428,1.03373074,1
200,0.00038152,0.8617977,25.02402211,24.88017187,0.859852285,1
201,0.00038152,0.71199579,25.2864613,25.2864613,0.71199579,1
202,0.00038152,0.621211717,25.42236164,25.42236164,0.621211717,1
203,0.00038152,0.549472562,26.50612831,26.62401401,0.540149717,1
204,0.00038152,0.528970677,27.54713251,26.71882814,0.46831927,1
205,0.00038152,0.397869151,27.9060304,27.9060304,0.397869151,1
206,0.00038152,0.359291605,28.91064001,28.69014968,0.352643081,1
207,0.00038152,0.374705667,29.28159853,28.94866194,0.2977502,1
208,0.00038152,0.246984121,29.94808492,29.94808492,0.246984121,1
209,0.00038152,0.208167346,30.88930112,31.0423832,0.204626242,1
210,0.00038152,0.185484365,30.96140191,31.2276981,0.155415814,1
211,0.00038152,0.102617386,30.7243075,31.04700731,0.099511347,1
212,0.00038152,0.102058439,29.54743528,29.71687995,0.064009589,1
213,0.00038152,0.04748069,26.95412285,27.27739413,0.045672183,1
214,0.00038152,0.036773046,25.88964794,25.79266559,0.036324168,1
215,0.00038152,0.069282576,24.86236333,25.54670595,0.029866189,1
216,0.00038152,0.023134735,24.79895442,24.8062285,0.023104744,1
217,0.00038152,0.02030241,25.93045865,24.37340611,0.018786482,1
218,0.00038152,0.021865419,23.97243745,23.67357689,0.015140713,1
219,0.00038152,0.01356782,23.02698255,23.29306763,0.013033184,1
220,0.00038152,0.013588895,22.15859454,22.25643475,0.011030706,1
221,0.00038152,0.010643389,21.1606154,21.12076068,0.009877694,1
222,0.00038152,0.045145986,20.39312961,20.15948754,0.009258113,1
223,0.00038152,0.012529487,19.48545385,19.33239433,0.008804961,1
224,0.00038152,0.050359878,18.53991983,18.12663265,0.008604551,1
225,0.00038152,0.039056894,16.85555426,17.0757679,0.008479393,1
226,0.00038152,0.023860623,15.95164192,16.27220188,0.008365813,1
227,0.00038152,0.035084007,14.812749,15.18218208,0.008278352,1
228,0.00038152,0.01085051,14.42151394,14.38235884,0.008442967,1
229,0.00038152,0.00871792,13.57147936,13.58643124,0.008252439,1
230,0.00038152,0.008341047,13.1251674,12.85937705,0.008214973,1
231,0.00038152,0.009687997,12.22477357,12.17161815,0.008450839,1
232,0.00038152,0.008298531,11.92667554,11.77932201,0.008198655,1
233,0.00038152,0.016598505,10.97974406,11.12167892,0.008242104,1
234,0.00038152,0.008485093,10.3942333,10.56708566,0.008082768,1
235,0.00038152,0.015115568,9.917389462,9.985444443,0.008091529,1
236,0.00038152,0.022203627,9.332451742,9.625265169,0.004058647,1
237,0.00038152,0.008744083,9.353688278,9.191819096,0.003575599,1
238,0.00038152,0.005998537,8.848933741,8.864744789,0.003495123,1
239,0.00038152,0.005240847,8.415882247,8.560890002,0.003561917,1
240,0.00038152,0.004649256,8.193692487,8.130168514,0.003331667,1
241,0.00038152,0.01505655,7.953272297,7.857394384,0.003162237,1
242,0.00038152,0.002943164,7.534052055,7.539207065,0.002748218,1
243,0.00038152,0.004988161,7.283797299,7.284637041,0.002635634,1
244,0.00038152,0.009236898,6.927042316,6.893512102,0.0025823,1
245,0.00038152,0.002468961,6.622637614,6.65092832,0.002419844,1
246,0.00038152,0.003212955,6.301453071,6.308745522,0.002337689,1
247,0.00038152,0.002961037,5.859667831,5.996391732,0.002334217,1
248,0.00038152,0.003667118,5.602280546,5.682126813,0.002353773,1
249,0.00038152,0.002534873,5.461238541,5.417966191,0.002276359,1
250,0.00038152,0.0044525,5.269650699,5.327545045,0.002164913,1
251,0.00038152,0.003123117,5.132226188,5.155420647,0.002181106,1
252,0.00038152,0.008159208,4.989978571,5.055857682,0.002178325,1
253,0.00038152,0.003752912,4.922333329,4.902054681,0.002195439,1
