,0
0,6.816664284452378
1,5.808591927354857
2,4.944726727778497
3,4.214534888734747
4,3.596655503465842
5,3.069927627459149
6,2.6128278562843765
7,2.1948444240801206
8,1.7977368195591878
9,1.441528644758145
10,1.1178492932769681
11,0.8324205123303767
12,0.5988710841270984
13,0.40113081213661556
14,0.2568941634067911
15,0.1574451919215705
16,0.0968188155068004
17,0.06823418319277362
18,0.06055952239950917
19,0.05906160278275903
20,0.05790803444449803
21,0.054374523153685156
22,0.05008163467977682
23,0.04625099927572547
24,0.04435327657195871
25,0.04548483939036594
26,0.049782858695092407
27,0.05787425963609794
28,0.06832238380155208
29,0.07979365874382324
30,0.09062706027877135
31,0.0995333052962211
32,0.10563176445565063
33,0.10853292275609126
34,0.10853736886514281
35,0.10643115820656193
36,0.10304969132185304
37,0.09825376708929644
38,0.09363187764708937
39,0.08976279066971182
40,0.08621227540213675
41,0.08294981725447885
42,0.0796667253743097
43,0.07598190230317622
44,0.07164648669330718
45,0.06662238306976793
46,0.06108355566337366
47,0.055350979838800926
48,0.04935243604158001
49,0.04385281859169147
50,0.03879559228305616
51,0.03450744886189079
52,0.03116138196986837
53,0.028444452765150292
54,0.025969243952707426
55,0.02343863287784972
56,0.02074856836740349
57,0.01799741528916173
58,0.01541217088844737
59,0.013233455045820913
60,0.011611377011804307
61,0.010552579193943926
62,0.009932668871642588
63,0.009559759362024944
64,0.009255642056425322
65,0.008918278788794051
66,0.008542290510885776
67,0.008195329282293025
68,0.007967304466077466
69,0.007918490331033453
70,0.008048641838799341
71,0.008300407544803436
72,0.008585210219550731
73,0.008821476974650707
74,0.008964176919691478
75,0.009014439047386726
76,0.009008004467656512
77,0.008990953553086274
78,0.008995624589663433
79,0.009027581344469788
80,0.009067764064719689
81,0.009086304925673371
82,0.009059575278498965
83,0.008981787638181337
84,0.008866377681837212
85,0.008738002335485644
86,0.008620376958030144
87,0.008526402226577913
88,0.008454960705940012
89,0.00839486958835774
90,0.008332917058040491
91,0.008261365853056387
92,0.008181239468831276
93,0.00810091227182733
94,0.008030666100685686
95,0.007977241158729175
96,0.007941051518398152
97,0.007917016664397628
98,0.007898008336526834
99,0.007878722343399872
100,0.007857909248907554
101,0.007838076950306161
102,0.007823239741623036
103,0.007816223770558036
104,0.007817034107086937
105,0.007822987565278132
106,0.00783026332591022
107,0.007835819867175544
108,0.007838596735976488
109,0.00783947755478573
110,0.007840244800191595
111,0.007842266935187492
112,0.007845683018065068
113,0.007849450072305484
114,0.007852080233305714
115,0.007852537804239307
116,0.007850761788122747
117,0.007847575458099325
118,0.00784412825198038
119,0.007841256499807537
120,0.007839133522262799
121,0.00783735543904673
122,0.007835337035494444
123,0.007832735683747573
124,0.00782965252795127
125,0.007826531395866912
126,0.007823865642396073
127,0.007821917727838407
128,0.007820615372490623
129,0.007819657133578775
130,0.007818730863825526
131,0.007817697254367964
132,0.00781663572192695
133,0.007815749099173529
134,0.007815208837425081
135,0.007815044628343277
136,0.007815138133384995
137,0.007815307303976301
138,0.007815414789657665
